Date,Mission success,Country/organization,Mission name
8/8/1989,First astrometric satellite,ESA,Hipparcos
8/25/1989,"First Neptune flyby (closest approach at 29,240�km)",USA (NASA),Voyager 2
11/18/1989,First orbital cosmic microwave observatory,USA (NASA),COBE
2/14/1990,First photograph of the whole Solar System,USA (NASA),Voyager 1
4/24/1990,Optical orbital observatory,USA (NASA) ESA,Hubble Space Telescope
7/2/1990,First time a spacecraft coming from deep space uses the Earth for a gravity-assist manoeuvre,ESA,Giotto
9/15/1990,Extended (multi-year) orbital exploration of Venus,USA (NASA),Magellan
10/21/1991,"First asteroid flyby (951 Gaspra closest approach 1,600 kilometers)",USA (NASA),Galileo
6/14/1905,First confirmed observation of an exoplanet,Canada Poland,Aleksander Wolszczan & Dale Frail
2/8/1992,First polar orbit around the Sun,USA (NASA) ESA,Ulysses
3/22/1995,Record longest duration spaceflight (437.7 days) set by Valeri Polyakov,Russia (FKA),Mir
12/7/1995,First orbit of Jupiter,USA (NASA),Galileo
12/7/1995,First mission into the atmosphere of a gas giant (Jupiter),USA (NASA),Galileo's atmospheric entry probe
2/12/1997,First orbital radio observatory,Japan (ISAS),HALCA
7/4/1997,First operational rover on another planet (Mars),USA (NASA),Mars Pathfinder
11/20/1998,"First multinational space station,",Russia (FKA) USA (NASA) Europe (ESA) Japan (JAXA) Canada (CSA),International Space Station
,Largest artificial object built in space to date,,
2/14/2000,First orbiting of an asteroid (433 Eros),USA (NASA) ESA,NEAR Shoemaker
2/12/2001,First landing on an asteroid (433 Eros),USA (NASA),NEAR Shoemaker
4/28/2001,First Space Tourist,Russia,Soyuz
6/21/2004,First human spaceflight launched by a private company (suborbital).,USA (Mojave Aerospace Ventures),SpaceShipOne Flight 15P
,,,
,First private astronaut (Mike Melvill),,
7/1/2004,First orbit of Saturn,USA (NASA) ESA Italy (ASI),Cassini�Huygens
9/8/2004,First sample return beyond lunar orbit (solar wind),USA (NASA),Genesis
1/14/2005,First soft landing on Titan,ESA USA (NASA) Italy (ASI),Cassini�Huygens
,First soft landing in the outer Solar System,,
11/19/2005,First asteroid ascent (25143 Itokawa),Japan (JAXA),Hayabusa
,First interplanetary escape without undercarriage cutoff[clarification needed],,
1/15/2006,First sample return from comet (81P/Wild),USA (NASA),Stardust
11/8/2008,Discovery of lunar water in the form of ice,INDIA (ISRO),Chandrayaan-1
3/6/2009,"Kepler Mission is launched, first space telescope designated to search for Earth-like exoplanets",USA (NASA),Kepler Mission
6/13/2010,First sample return from asteroid (25143 Itokawa),Japan (JAXA),Hayabusa
3/18/2011,First orbit of Mercury,USA (NASA),MESSENGER
7/16/2011,First orbit of giant asteroid Vesta,USA (NASA),Dawn
8/25/2012,First manmade probe in interstellar space.,USA (NASA),Voyager 1
11/12/2014,First artificial probe to make a planned and soft landing on a comet (67P/Churyumov�Gerasimenko).,ESA,Rosetta
3/6/2015,First orbit of dwarf planet (Ceres).,USA (NASA),Dawn
,First spacecraft to orbit two separate celestial bodies.,,
7/1/2015,First flyby of dwarf planet (Pluto).,USA (NASA),New Horizons
,Last original encounter with one of the nine major planets recognized in 1981.,,
8/10/2015,First food grown in space eaten (lettuce).,USA (NASA) Japan (JAXA),International Space Station
11/23/2015,First propulsive landing of a rocket after sending something into space (suborbital).,USA (Blue Origin),New Shepard 2
12/21/2015,First propulsive landing of an orbital rocket.,USA (SpaceX),Falcon 9 first-stage landing tests
10/19/2017,First known interstellar object detected passing through the Solar System,Hawaii Haleakal? Observatory,Oumuamua
9/21/2018,First operational rover on asteroid (162173 Ryugu),Japan (JAXA),Hayabusa2
1/1/2019,First contact binary explored by spacecraft (486958 Arrokoth),USA (NASA),New Horizons
1/3/2019,First soft landing on the far side of the Moon; also first germination of seeds on another celestial body.,China (CNSA),Chang'e 4
4/10/2019,First direct photograph of a black hole and its vicinity.,USA (NASA),Event Horizon Telescope
5/30/2020,First orbital human spaceflight launched by a private company.,USA (SpaceX),SpaceX Demo-2
